run_hash,model,task_id,harness,use_reference_data,experiment_name,steps_completed,final_result_reached,steps_to_completion,completion_rate,adjusted_completion_rate
78cc0ba1-97a7-45ca-bca2-218ff109a7fb,openrouter/deepseek/deepseek-v4-pro,comparative-genomics,opencode,True,open-environment-with-reference-data,0,False,6,0.0,0.0
7d056188-91cd-4bdc-82d8-da103e3b0d18,openrouter/anthropic/claude-opus-4.7,giab,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
7d6b553d-de9a-488a-b67d-c0679e62fcf7,openrouter/openai/gpt-5.5,comparative-genomics,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
8bc2d0f6-5bd7-4c8a-99bd-69b8a614d565,openrouter/anthropic/claude-opus-4.7,single-cell,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
8f4ee981-80df-4a00-abd7-9581343973c9,openrouter/openai/gpt-5.5,alzheimer-mouse,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
9216b2a2-df52-443a-8616-fe6ba35766e8,openrouter/moonshotai/kimi-k2.6,metagenomics,opencode,True,open-environment-with-reference-data,0,False,5,0.0,0.0
983c8c7b-234f-4584-99b4-860542770f69,openrouter/openai/gpt-5.5,metagenomics,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
a30fa564-98ea-4a85-b6b7-e12553ded8fd,openrouter/qwen/qwen3.6-27b,giab,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
a4761285-4ad0-4137-a038-a13ed7c08dbd,openrouter/qwen/qwen3.6-27b,deseq,opencode,True,open-environment-with-reference-data,0,False,4,0.0,0.0
aa3b3d20-1f0a-4143-be36-762943bdba12,openrouter/qwen/qwen3.7-max,alzheimer-mouse,opencode,True,open-environment-with-reference-data,3,True,4,0.75,0.8
aa5b94f0-a177-4b54-a66e-babfdeb42440,openrouter/anthropic/claude-opus-4.7,evolution,opencode,True,open-environment-with-reference-data,7,True,7,1.0,1.0
ac1b6341-70f6-4f92-a7ee-112f9a99038c,openrouter/qwen/qwen3.6-27b,viral-metagenomics,opencode,True,open-environment-with-reference-data,0,False,7,0.0,0.0
b06ed470-b9d1-4aae-aedd-55c213e0d475,openrouter/qwen/qwen3.7-max,evolution,opencode,True,open-environment-with-reference-data,7,True,7,1.0,1.0
b7ec2874-f6cb-43af-9563-ebc9f7a9378a,openrouter/openai/gpt-5.1,comparative-genomics,opencode,True,open-environment-with-reference-data,1,False,4,0.25,0.2
b7fa6849-eea9-4f07-8c0b-7e13a023af75,openrouter/qwen/qwen3.6-27b,evolution,opencode,True,open-environment-with-reference-data,0,False,8,0.0,0.0
b8a8333c-6f12-4a53-9dbe-ae26d0214563,openrouter/openai/gpt-5.1,deseq,opencode,True,open-environment-with-reference-data,0,False,5,0.0,0.0
b96417d2-e6e4-48fa-9a7b-631e551b3acc,openrouter/openai/gpt-5.1,cystic-fibrosis,opencode,True,open-environment-with-reference-data,2,True,2,1.0,1.0
bcd88e7a-19c3-4ab7-b23d-95263bbe9052,openrouter/anthropic/claude-opus-4.7,cystic-fibrosis,opencode,True,open-environment-with-reference-data,2,True,2,1.0,1.0
bdc51749-3b69-4e55-9dcf-942f834c8dcc,openrouter/qwen/qwen3.7-max,giab,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
be29b729-4f71-4d55-8aae-29ad2e19d814,openrouter/qwen/qwen3.6-27b,single-cell,opencode,True,open-environment-with-reference-data,5,True,5,1.0,1.0
be4321eb-5f3c-4f27-9ba7-c519f2c53436,openrouter/qwen/qwen3.6-27b,metagenomics,opencode,True,open-environment-with-reference-data,2,False,4,0.5,0.4
c1bc0450-f74b-4587-9e3d-45c9ef85f200,openrouter/qwen/qwen3.7-max,cystic-fibrosis,opencode,True,open-environment-with-reference-data,1,True,1,1.0,1.0
ca8d6682-40b3-48cc-bf08-4ac4360cffa6,openrouter/openai/gpt-5.5,single-cell,opencode,True,open-environment-with-reference-data,4,True,4,1.0,1.0
cc06bca9-26fc-4832-b718-27af43b1b722,openrouter/openai/gpt-5.1,alzheimer-mouse,opencode,True,open-environment-with-reference-data,1,True,1,1.0,1.0
cd5b674d-d497-4bc1-a99a-cace1a8b99d1,openrouter/deepseek/deepseek-v4-pro,evolution,opencode,True,open-environment-with-reference-data,0,False,7,0.0,0.0
d3508098-55ec-4919-a33d-b7b22fec9e8d,openrouter/qwen/qwen3.7-max,deseq,opencode,True,open-environment-with-reference-data,3,True,4,0.75,0.8
d6de6cef-22fe-469b-9571-ec67bc83a4be,openrouter/deepseek/deepseek-v4-pro,cystic-fibrosis,opencode,True,open-environment-with-reference-data,3,True,3,1.0,1.0
e3f0b460-0602-4239-a80f-dfe6db754d13,openrouter/deepseek/deepseek-v4-pro,giab,opencode,True,open-environment-with-reference-data,5,False,6,0.8333333333333334,0.7142857142857143
e83175ae-a764-4cb3-9437-0a90f7d4f9f6,openrouter/moonshotai/kimi-k2.6,viral-metagenomics,opencode,True,open-environment-with-reference-data,4,True,5,0.8,0.8333333333333334
ebec1f1c-c3be-4584-b766-9543ace82862,openrouter/qwen/qwen3.6-27b,cystic-fibrosis,opencode,True,open-environment-with-reference-data,1,True,1,1.0,1.0
f00e50ce-e5d4-4c09-ae7f-73d8e080253c,openrouter/moonshotai/kimi-k2.6,giab,opencode,True,open-environment-with-reference-data,0,False,5,0.0,0.0
fccca6b2-369c-4295-bc08-4977fa1bf5cc,openrouter/qwen/qwen3.6-27b,comparative-genomics,opencode,True,open-environment-with-reference-data,1,False,5,0.2,0.16666666666666666
ffe91392-6611-437a-a60e-58428847c07e,openrouter/,comparative-genomics,opencode,True,open-environment-with-reference-data,0,False,6,0.0,0.0
